#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.55 -0.29  1.04128  0.188 3.796  4.397  8.10  0.037 0.00 12.399 12.933 12.986 12.472 12.152 11.864 11.516 11.238 11.213  1.041 
 1   9.55 -0.17  1.24819  0.586 3.800  4.093  8.60  0.037 0.00 11.904 12.444 12.459 11.957 11.647 11.370 11.033 10.771 10.744  1.248 
 1   9.55 -0.09  1.39831  1.748 3.675  2.481  8.50  0.037 0.90  8.831 10.912 10.229  9.192  8.634  8.160  7.462  6.906  6.836  1.398 
 1   9.55 -0.07  0.29690 -1.890 3.564  5.003  8.40  0.037 0.00 17.895 21.952 20.710 19.296 18.312 17.254 16.184 15.601 15.392  0.297 
 1   9.55 -0.03  0.39850 -1.621 3.579  4.920  6.50  0.031 0.00 15.324 19.067 17.936 16.603 15.653 14.660 13.627 13.032 12.852  0.399 
 1   9.55 -0.03  0.43369 -1.532 3.585  4.893  9.60  0.038 0.00 18.200 21.839 20.727 19.411 18.481 17.541 16.530 15.915 15.748  0.434 
 1   9.55  0.07  0.48666 -1.417 3.591  4.854 10.10  0.038 0.77 17.948 21.607 20.495 19.191 18.261 17.298 16.272 15.647 15.482  0.487 
 1   9.55  0.07  0.98084 -0.105 3.748  4.473 11.60  0.038 0.88 16.205 17.509 17.171 16.373 15.918 15.540 15.025 14.612 14.565  0.981 
 1   9.55  0.11  0.21638 -2.180 3.538  5.053  7.70  0.036 0.97 17.202 21.822 20.443 18.932 17.868 16.616 15.433 14.870 14.627  0.216 
 1   9.55  0.13  0.21805 -2.177 3.538  5.050  8.10  0.037 0.88 17.710 22.418 21.022 19.499 18.419 17.135 15.929 15.370 15.125  0.218 
 1   9.57 -0.59  0.19917 -2.119 3.579  5.117  9.50  0.038 0.00 19.567 23.293 22.099 20.675 19.731 18.897 17.924 17.344 17.148  0.199 
