#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.39 -0.09  1.03587  0.036 3.770  4.445 11.10  0.038 0.00 15.781 16.591 16.506 15.870 15.498 15.175 14.764 14.438 14.405  1.036 
 1   9.39  0.01  0.88708 -0.356 3.719  4.564  8.20  0.033 0.72 13.648 15.329 14.834 13.937 13.412 12.972 12.354 11.848 11.783  0.887 
 1   9.39  0.05  0.45485 -1.496 3.585  4.880  8.90  0.036 0.00 17.411 21.051 19.947 18.646 17.715 16.756 15.734 15.113 14.949  0.455 
 1   9.39  0.05  0.80412 -0.583 3.684  4.608 10.60  0.038 0.00 16.828 18.961 18.215 17.211 16.616 16.143 15.466 14.912 14.845  0.804 
 1   9.39  0.09  0.70281 -0.865 3.646  4.679 10.30  0.038 0.00 17.233 20.046 19.037 17.885 17.156 16.574 15.758 15.092 15.003  0.703 
 1   9.39  0.31  1.21774  0.355 3.787  4.260 10.90  0.038 0.00 14.782 15.579 15.433 14.819 14.468 14.177 13.818 13.546 13.515  1.218 
 1   9.41 -0.25  1.04170  0.111 3.787  4.441 10.00  0.037 0.86 14.088 14.820 14.789 14.188 13.825 13.504 13.097 12.769 12.735  1.042 
 1   9.41 -0.19  0.72785 -0.712 3.675  4.659  7.30  0.028 0.00 13.849 16.010 15.275 14.267 13.658 13.168 12.465 11.883 11.810  0.728 
 1   9.41 -0.19  0.32872 -1.789 3.576  4.996  8.30  0.033 0.00 17.543 21.310 20.145 18.772 17.821 16.877 15.862 15.276 15.086  0.329 
 1   9.41 -0.13  0.46210 -1.448 3.596  4.880  9.30  0.037 0.00 17.691 21.108 20.033 18.738 17.848 17.027 16.070 15.430 15.281  0.462 
 1   9.41 -0.13  1.16894  0.363 3.806  4.314  9.70  0.037 0.00 13.562 14.066 14.098 13.611 13.309 13.042 12.722 12.470 12.447  1.169 
